soc_minor,civ_noninst_pop_employed,civ_noninst_pop_employed_local,civ_noninst_pop_employed_immigrant,civ_noninst_pop_employed_central_america,civ_noninst_pop_employed_south_america,civ_noninst_pop_employed_mexico,count,count_local,count_immigrant,count_central_america,count_south_america,count_mexico,minor_group,title
453,35017,29627,5390,539,190,1182,2866,2615,251,15,8,42,45-3000,Fishing and Hunting Workers
454,69084,61903,7181,909,206,4909,4941,4647,294,30,7,196,45-4000,"Forest, Conservation, and Logging Workers"
471,740808,622742,118066,16087,7876,63787,40852,35752,5100,565,351,2633,47-1000,Supervisors of Construction and Extraction Workers
472,6366647,4383015,1983632,400233,149300,1102743,323190,253136,70054,12285,4990,37678,47-2000,Construction Trades Workers
473,41423,29519,11904,2372,706,5867,2384,1910,474,84,35,229,47-3000,"Helpers, Construction Trades"
474,324135,277222,46913,6616,3572,21691,18475,16559,1916,229,170,781,47-4000,Other Construction and Related Workers
475,199070,175618,23452,1891,720,16998,11675,10725,950,60,28,705,47-5000,Extraction Workers
491,247979,223111,24868,2439,3021,7724,13910,12775,1135,89,117,347,49-1000,"Supervisors of Installation, Maintenance, and Repair Workers"
492,476098,406160,69938,5413,5797,15833,24792,21716,3076,226,275,602,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
493,1772814,1482530,290284,37043,23301,120271,92825,80903,11922,1351,901,4613,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
499,2063987,1768362,295625,34178,23759,109317,112115,99671,12444,1247,940,4374,49-9000,"Other Installation, Maintenance, and Repair Occupations"
511,849832,721964,127868,10952,8057,55171,47179,41257,5922,467,371,2411,51-1000,Supervisors of Production Workers
512,1158049,899435,258614,21290,11346,93373,63084,51488,11596,805,515,3861,51-2000,Assemblers and Fabricators
513,712698,485198,227500,26753,9326,104374,36382,27402,8980,967,385,3947,51-3000,Food Processing Workers
514,1618534,1328736,289798,27454,12288,141853,89085,76809,12276,1002,527,5728,51-4000,Metal Workers and Plastic Workers
5151,205696,171967,33729,3185,2010,11810,11267,9748,1519,125,106,509,51-5100,Printing Workers
516,496078,279292,216786,31165,11360,91408,27995,17617,10378,1328,557,4091,51-6000,"Textile, Apparel, and Furnishings Workers"
517,136708,114138,22570,2342,1734,12750,8258,7287,971,86,78,500,51-7000,Woodworkers
518,265114,240537,24577,2385,2096,5637,15346,14205,1141,88,91,241,51-8000,Plant and System Operators
519,3060018,2384872,675146,72327,37450,281647,168313,138542,29771,2736,1660,12035,51-9000,Other Production Occupations
531,241035,205965,35070,3470,3226,9095,12404,10814,1590,135,163,417,53-1000,Supervisors of Transportation and Material Moving Workers
532,282785,252286,30499,1150,4238,1205,15169,13632,1537,59,203,60,53-2000,Air Transportation Workers
533,4412141,3444398,967743,99736,79382,245207,229469,190223,39246,3767,3108,10266,53-3000,Motor Vehicle Operators
534,115788,108911,6877,592,561,1236,6471,6158,313,25,26,55,53-4000,Rail Transportation Workers
535,63050,58163,4887,686,188,480,3828,3553,275,28,13,21,53-5000,Water Transportation Workers
536,277367,223955,53412,4866,5945,8631,14768,12490,2278,214,270,382,53-6000,Other Transportation Workers
537,5560546,4549823,1010723,125099,57757,452729,312901,268847,44054,4919,2591,19300,53-7000,Material Moving Workers
