state_fips,state,civ_noninst_pop,civ_noninst_pop_employed,civ_noninst_pop_local,civ_noninst_pop_immigrant,civ_noninst_pop_employed_local,civ_noninst_pop_employed_immigrant,civ_noninst_pop_employed_central_america,civ_noninst_pop_employed_south_america,civ_noninst_pop_employed_mexico,civ_noninst_labforce,civ_noninst_labforce_local,civ_noninst_labforce_immigrant,civ_noninst_labforce_central_america,civ_noninst_labforce_south_america,civ_noninst_labforce_mexico,count,count_local,count_immigrant,count_central_america,count_south_america,count_mexico,EPOP
40,Oklahoma,2416358,1665220,2219515,196843,1521914,143306,10485,4403,70710,1758018,1609250,148768,10847,4650,73570,110111,103352,6759,387,237,3307,68.91445721205218
41,Oregon,2623426,1867762,2291788,331638,1620763,246999,10487,7148,101026,1977008,1720155,256853,11015,7279,104713,125550,112931,12619,399,379,4015,71.19552829010615
42,Pennsylvania,8041195,5780129,7356084,685111,5285086,495043,21477,33181,37323,6115551,5592180,523371,22912,35537,38776,390827,367286,23541,773,1436,1452,71.88146786640543
44,Rhode Island,689661,499100,577916,111745,419026,80074,11619,7081,1852,528989,443932,85057,12386,7402,1886,32858,28412,4446,462,406,107,72.36888848289233
45,South Carolina,3108291,2133256,2907526,200765,1988276,144980,15715,13017,42709,2269834,2118273,151561,16344,13577,44516,145983,137903,8080,704,714,1950,68.63115454762762
46,South Dakota,526370,411229,499927,26443,391370,19859,2058,392,2165,427422,406577,20845,2108,392,2337,25509,24687,822,86,16,130,78.12546307730304
47,Tennessee,4225574,2927300,3938570,287004,2717916,209384,24425,8204,62194,3096976,2879002,217974,25720,8799,63934,202516,191226,11290,1137,523,2879,69.27579543039597
48,Texas,17905958,12588132,13947609,3958349,9771733,2816399,287954,95648,1470971,13269629,10336160,2933469,298374,100961,1529035,807512,653169,154343,12783,5264,79510,70.30136002776283
49,Utah,1917306,1432980,1699479,217827,1270483,162497,11468,19986,71164,1487075,1319438,167637,11812,20691,73469,92473,84567,7906,501,1015,2800,74.7392435010374
50,Vermont,402957,303406,382458,20499,288005,15401,13,575,721,315235,299079,16156,27,631,749,19742,18949,793,2,34,31,75.29488258052348
51,Virginia,5333510,3910224,4483414,850096,3256683,653541,131448,62334,38854,4103320,3424102,679218,136745,65064,40103,257790,222505,35285,4725,3192,1711,73.31427146475772
53,Washington,4736264,3410923,3878866,857398,2779602,631321,20835,15121,167796,3592931,2934067,658864,22034,15537,176002,228528,193248,35280,874,810,7834,72.01716373918346
54,West Virginia,1120694,694013,1097810,22884,679442,14571,858,1116,958,745332,730140,15192,942,1127,980,53254,52274,980,39,69,51,61.927073759652494
55,Wisconsin,3659488,2829178,3424326,235162,2655786,173392,6148,5936,60574,2937347,2758023,179324,6531,6335,62566,178551,171561,6990,220,288,2102,77.31076041238556
56,Wyoming,360111,268750,344337,15774,257311,11439,534,465,5330,282167,270208,11959,550,465,5685,17401,16813,588,30,22,207,74.62976693297344
