ers90,state_fips,state_abbv,states_count,states_abbv,cbsa10,cbsa_name
29800,29,MO,1,MO,NA,NA
29901,29,MO,3,KS; MO; OK,27900,"Joplin, MO"
29902,29,MO,1,MO,NA,NA
30000,05,AR,1,AR,40780,"Russellville, AR"
30100,05,AR,2,OK; AR,22900,"Fort Smith, AR-OK"
30200,40,OK,1,OK,34780,"Muskogee, OK"
30300,05,AR,3,MO; OK; AR,22220,"Fayetteville-Springdale-Rogers, AR-MO"
30401,40,OK,1,OK,44660,"Stillwater, OK"
30402,40,OK,1,OK,46140,"Tulsa, OK"
30403,40,OK,1,OK,46140,"Tulsa, OK"
30501,40,OK,1,OK,49260,"Woodward, OK"
30502,40,OK,1,OK,21420,"Enid, OK"
30601,48,TX,2,NM; TX,21340,"El Paso, TX"
30602,35,NM,1,NM,10460,"Alamogordo, NM"
30603,35,NM,1,NM,NA,NA
30604,35,NM,1,NM,43500,"Silver City, NM"
30605,48,TX,1,TX,NA,NA
30701,35,NM,1,NM,40740,"Roswell, NM"
30702,35,NM,1,NM,NA,NA
30801,35,NM,2,NM; TX,26020,"Hobbs, NM"
30802,48,TX,1,TX,31180,"Lubbock, TX"
30901,35,NM,2,NM; TX,17580,"Clovis, NM"
30902,48,TX,1,TX,NA,NA
30903,48,TX,1,TX,11100,"Amarillo, TX"
30904,48,TX,1,TX,14420,"Borger, TX"
30905,48,TX,1,TX,NA,NA
30906,48,TX,1,TX,NA,NA
30907,48,TX,1,TX,NA,NA
30908,48,TX,1,TX,38380,"Plainview, TX"
31001,20,KS,1,KS,23780,"Garden City, KS"
31002,20,KS,1,KS,NA,NA
31003,20,KS,1,KS,NA,NA
31004,20,KS,2,KS; OK,30580,"Liberal, KS"
31005,48,TX,1,TX,NA,NA
31006,40,OK,3,KS; OK; TX,25100,"Guymon, OK"
31007,48,TX,1,TX,20300,"Dumas, TX"
31101,48,TX,1,TX,47020,"Victoria, TX"
31102,48,TX,1,TX,NA,NA
31103,48,TX,1,TX,NA,NA
31201,48,TX,1,TX,12420,"Austin-Round Rock, TX"
31202,48,TX,1,TX,NA,NA
31301,48,TX,1,TX,41700,"San Antonio-New Braunfels, TX"
31302,48,TX,1,TX,13300,"Beeville, TX"
31303,48,TX,1,TX,28500,"Kerrville, TX"
31304,48,TX,1,TX,NA,NA
31401,48,TX,1,TX,36220,"Odessa, TX"
31402,48,TX,1,TX,37780,"Pecos, TX"
31403,48,TX,1,TX,NA,NA
31404,48,TX,1,TX,NA,NA
31501,48,TX,1,TX,NA,NA
31502,48,TX,1,TX,NA,NA
31503,48,TX,1,TX,29700,"Laredo, TX"
31600,48,TX,1,TX,32580,"McAllen-Edinburg-Mission, TX"
31700,48,TX,1,TX,18580,"Corpus Christi, TX"
31800,48,TX,1,TX,17780,"College Station-Bryan, TX"
31900,48,TX,1,TX,26420,"Houston-The Woodlands-Sugar Land, TX"
32000,48,TX,1,TX,26420,"Houston-The Woodlands-Sugar Land, TX"
32100,48,TX,1,TX,13140,"Beaumont-Port Arthur, TX"
32201,48,TX,1,TX,31260,"Lufkin, TX"
32202,48,TX,1,TX,34860,"Nacogdoches, TX"
32301,48,TX,1,TX,41660,"San Angelo, TX"
32302,48,TX,1,TX,NA,NA
32303,48,TX,1,TX,NA,NA
32304,48,TX,1,TX,46620,"Uvalde, TX"
32305,48,TX,1,TX,19620,"Del Rio, TX"
32306,48,TX,1,TX,20580,"Eagle Pass, TX"
32401,48,TX,1,TX,13700,"Big Spring, TX"
32402,48,TX,1,TX,45020,"Sweetwater, TX"
32403,48,TX,1,TX,43660,"Snyder, TX"
32501,48,TX,1,TX,10180,"Abilene, TX"
32502,48,TX,1,TX,NA,NA
32503,48,TX,1,TX,NA,NA
32601,48,TX,1,TX,48660,"Wichita Falls, TX"
32602,48,TX,1,TX,NA,NA
32603,48,TX,1,TX,NA,NA
32604,48,TX,1,TX,46900,"Vernon, TX"
32701,48,TX,1,TX,15220,"Brownwood, TX"
32702,48,TX,1,TX,44500,"Stephenville, TX"
32801,48,TX,1,TX,47380,"Waco, TX"
32802,48,TX,1,TX,18620,"Corsicana, TX"
32900,48,TX,1,TX,28660,"Killeen-Temple, TX"
33000,48,TX,1,TX,19100,"Dallas-Fort Worth-Arlington, TX"
33100,48,TX,1,TX,19100,"Dallas-Fort Worth-Arlington, TX"
33200,48,TX,1,TX,19100,"Dallas-Fort Worth-Arlington, TX"
33300,48,TX,1,TX,46340,"Tyler, TX"
33400,48,TX,1,TX,30980,"Longview, TX"
33500,48,TX,2,TX; AR,45500,"Texarkana, TX-AR"
33601,40,OK,1,OK,30020,"Lawton, OK"
33602,40,OK,1,OK,11060,"Altus, OK"
33603,40,OK,1,OK,NA,NA
33700,40,OK,1,OK,11620,"Ardmore, OK"
33801,40,OK,1,OK,48220,"Weatherford, OK"
33802,40,OK,1,OK,36420,"Oklahoma City, OK"
33803,40,OK,1,OK,36420,"Oklahoma City, OK"
33901,40,OK,1,OK,10220,"Ada, OK"
33902,48,TX,2,OK; TX,43300,"Sherman-Denison, TX"
34001,05,AR,1,AR,26300,"Hot Springs, AR"
34002,40,OK,2,OK; AR,NA,NA
34101,02,AK,1,AK,NA,NA
34102,02,AK,1,AK,11260,"Anchorage, AK"
34103,NA,NA,1,"NA",NA,NA
34104,02,AK,1,AK,NA,NA
34105,02,AK,1,AK,NA,NA
34106,02,AK,1,AK,NA,NA
34107,02,AK,1,AK,NA,NA
34108,02,AK,1,AK,NA,NA
34109,02,AK,2,AK; NA,27940,"Juneau, AK"
34110,02,AK,2,AK; NA,NA,NA
34111,02,AK,2,AK; NA,28540,"Ketchikan, AK"
34112,02,AK,2,AK; NA,NA,NA
34113,02,AK,1,AK,NA,NA
34114,02,AK,1,AK,NA,NA
34115,02,AK,1,AK,21820,"Fairbanks, AK"
34201,30,MT,1,MT,NA,NA
34202,30,MT,1,MT,NA,NA
34203,30,MT,1,MT,24500,"Great Falls, MT"
34204,30,MT,1,MT,NA,NA
34301,56,WY,1,WY,NA,NA
34302,56,WY,1,WY,NA,NA
34303,56,WY,1,WY,40180,"Riverton, WY"
34304,56,WY,2,MT; WY,43260,"Sheridan, WY"
34305,30,MT,1,MT,NA,NA
34306,30,MT,1,MT,NA,NA
34307,30,MT,1,MT,NA,NA
34308,30,MT,1,MT,13740,"Billings, MT"
34309,30,MT,1,MT,NA,NA
34401,30,MT,1,MT,NA,NA
34402,30,MT,2,MT; NA,14580,"Bozeman, MT"
34403,30,MT,1,MT,25740,"Helena, MT"
34404,30,MT,1,MT,15580,"Butte-Silver Bow, MT"
34501,16,ID,1,ID,NA,NA
34502,30,MT,1,MT,NA,NA
34503,30,MT,1,MT,28060,"Kalispell, MT"
34504,30,MT,1,MT,33540,"Missoula, MT"
34601,56,WY,1,WY,23940,"Gillette, WY"
34602,56,WY,1,WY,NA,NA
34603,56,WY,1,WY,16220,"Casper, WY"
34604,56,WY,1,WY,NA,NA
34701,15,HI,1,HI,46520,"Urban Honolulu, HI"
34702,15,HI,1,HI,28180,"Kapaa, HI"
34703,15,HI,1,HI,27980,"Kahului-Wailuku-Lahaina, HI"
34801,35,NM,1,NM,29780,"Las Vegas, NM"
34802,35,NM,1,NM,42140,"Santa Fe, NM"
34803,35,NM,1,NM,NA,NA
34804,35,NM,1,NM,NA,NA
34805,08,CO,1,CO,NA,NA
34901,35,NM,1,NM,10740,"Albuquerque, NM"
34902,35,NM,1,NM,NA,NA
35001,04,AZ,1,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ"
35002,04,AZ,1,AZ,40940,"Safford, AZ"
35100,04,AZ,1,AZ,46060,"Tucson, AZ"
35201,08,CO,1,CO,24300,"Grand Junction, CO"
35202,08,CO,1,CO,NA,NA
35300,35,NM,2,NM; CO,22140,"Farmington, NM"
35401,04,AZ,2,AZ; UT,39140,"Prescott, AZ"
35402,08,CO,2,UT; CO,NA,NA
35500,04,AZ,2,NM; AZ,43320,"Show Low, AZ"
35600,15,HI,1,HI,25900,"Hilo, HI"
35701,16,ID,1,ID,46300,"Twin Falls, ID"
35702,16,ID,1,ID,15420,"Burley, ID"
35801,16,ID,1,ID,14260,"Boise City, ID"
35802,41,OR,2,ID; OR,36620,"Ontario, OR-ID"
35803,16,ID,1,ID,NA,NA
35901,49,UT,1,UT,41100,"St. George, UT"
35902,49,UT,1,UT,39220,"Price, UT"
35903,49,UT,1,UT,NA,NA
35904,49,UT,1,UT,NA,NA
35905,49,UT,1,UT,NA,NA
36000,49,UT,1,UT,39340,"Provo-Orem, UT"
36100,49,UT,1,UT,41620,"Salt Lake City, UT"
36200,49,UT,2,ID; UT,30860,"Logan, UT-ID"
36301,16,ID,1,ID,26820,"Idaho Falls, ID"
36302,16,ID,1,ID,NA,NA
36303,56,WY,2,ID; WY,27220,"Jackson, WY-ID"
36401,08,CO,1,CO,44460,"Steamboat Springs, CO"
36402,49,UT,1,UT,46860,"Vernal, UT"
36403,16,ID,1,ID,NA,NA
36404,56,WY,2,UT; WY,40540,"Rock Springs, WY"
36501,06,CA,2,OR; CA,28900,"Klamath Falls, OR"
36502,41,OR,1,OR,NA,NA
36503,41,OR,1,OR,NA,NA
36600,06,CA,1,CA,39820,"Redding, CA"
36700,06,CA,1,CA,21700,"Eureka-Arcata-Fortuna, CA"
36800,41,OR,1,OR,32780,"Medford, OR"
36901,06,CA,2,OR; CA,18860,"Crescent City, CA"
36902,41,OR,1,OR,40700,"Roseburg, OR"
37000,06,CA,1,CA,33700,"Modesto, CA"
37100,06,CA,1,CA,12540,"Bakersfield, CA"
37200,06,CA,1,CA,23420,"Fresno, CA"
37300,06,CA,1,CA,17020,"Chico, CA"
37400,06,CA,2,NV; CA,40900,"Sacramento--Roseville--Arden-Arcade, CA"
37500,06,CA,1,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA"
37601,32,NV,1,NV,21220,"Elko, NV"
37602,32,NV,1,NV,49080,"Winnemucca, NV"
37603,06,CA,1,CA,NA,NA
37604,32,NV,1,NV,39900,"Reno, NV"
37700,06,CA,1,CA,42220,"Santa Rosa, CA"
37800,06,CA,1,CA,41860,"San Francisco-Oakland-Hayward, CA"
37901,32,NV,2,NV; AZ,29820,"Las Vegas-Henderson-Paradise, NV"
37902,32,NV,1,NV,NA,NA
37903,06,CA,1,CA,NA,NA
38000,06,CA,1,CA,41740,"San Diego-Carlsbad, CA"
38100,06,CA,2,AZ; CA,20940,"El Centro, CA"
38200,06,CA,1,CA,42200,"Santa Maria-Santa Barbara, CA"
38300,06,CA,2,AZ; CA,31080,"Los Angeles-Long Beach-Anaheim, CA"
38401,16,ID,2,ID; WA,30300,"Lewiston, ID-WA"
38402,53,WA,2,ID; WA,39420,"Pullman, WA"
38501,53,WA,1,WA,34180,"Moses Lake, WA"
38502,53,WA,1,WA,48300,"Wenatchee, WA"
38601,53,WA,2,ID; WA,44060,"Spokane-Spokane Valley, WA"
38602,53,WA,1,WA,NA,NA
38700,53,WA,2,OR; WA,31020,"Longview, WA"
38801,41,OR,2,OR; WA,38900,"Portland-Vancouver-Hillsboro, OR-WA"
38802,41,OR,2,OR; WA,45520,"The Dalles, OR"
38901,41,OR,1,OR,21660,"Eugene, OR"
38902,41,OR,1,OR,35440,"Newport, OR"
39000,53,WA,1,WA,49420,"Yakima, WA"
39100,53,WA,2,OR; WA,28420,"Kennewick-Richland, WA"
39201,41,OR,1,OR,29260,"La Grande, OR"
39202,41,OR,1,OR,NA,NA
39203,41,OR,1,OR,13460,"Bend-Redmond, OR"
39204,41,OR,1,OR,NA,NA
39205,41,OR,1,OR,NA,NA
39301,53,WA,1,WA,NA,NA
39302,53,WA,1,WA,13380,"Bellingham, WA"
39303,53,WA,1,WA,38820,"Port Angeles, WA"
39400,53,WA,1,WA,42660,"Seattle-Tacoma-Bellevue, WA"
