ers90,state_fips,state_abbv,states_count,states_abbv,cbsa10,cbsa_name
8702,13,GA,1,GA,44340,"Statesboro, GA"
8800,13,GA,2,GA; SC,42340,"Savannah, GA"
8900,13,GA,1,GA,31420,"Macon, GA"
9001,13,GA,1,GA,47080,"Vidalia, GA"
9002,13,GA,1,GA,33300,"Milledgeville, GA"
9003,13,GA,1,GA,20140,"Dublin, GA"
9100,13,GA,1,GA,12060,"Atlanta-Sandy Springs-Roswell, GA"
9200,13,GA,1,GA,12060,"Atlanta-Sandy Springs-Roswell, GA"
9301,13,GA,1,GA,12020,"Athens-Clarke County, GA"
9302,13,GA,1,GA,45740,"Toccoa, GA"
9400,13,GA,1,GA,23580,"Gainesville, GA"
9500,01,AL,1,AL,45180,"Talladega-Sylacauga, AL"
9600,13,GA,2,AL; GA,11500,"Anniston-Oxford-Jacksonville, AL"
9701,13,GA,2,AL; GA,17980,"Columbus, GA-AL"
9702,13,GA,1,GA,11140,"Americus, GA"
9800,01,AL,1,AL,12220,"Auburn-Opelika, AL"
9900,12,FL,1,FL,45220,"Tallahassee, FL"
10000,12,FL,1,FL,37460,"Panama City, FL"
10101,13,GA,1,GA,12460,"Bainbridge, GA"
10102,13,GA,1,GA,45620,"Thomasville, GA"
10200,13,GA,1,GA,10500,"Albany, GA"
10301,13,GA,2,AL; GA,NA,NA
10302,01,AL,1,AL,20020,"Dothan, AL"
10400,28,MS,1,MS,32940,"Meridian, MS"
10501,28,MS,2,AL; MS,18060,"Columbus, MS"
10502,28,MS,1,MS,44260,"Starkville, MS"
10600,01,AL,1,AL,13820,"Birmingham-Hoover, AL"
10700,01,AL,1,AL,13820,"Birmingham-Hoover, AL"
10801,01,AL,1,AL,46220,"Tuscaloosa, AL"
10802,01,AL,1,AL,NA,NA
10900,12,FL,1,FL,37860,"Pensacola-Ferry Pass-Brent, FL"
11001,01,AL,1,AL,33660,"Mobile, AL"
11002,01,AL,1,AL,NA,NA
11101,01,AL,1,AL,33860,"Montgomery, AL"
11102,01,AL,1,AL,NA,NA
11201,51,VA,2,VA; WV,14140,"Bluefield, WV-VA"
11202,54,WV,1,WV,NA,NA
11203,51,VA,1,VA,13720,"Big Stone Gap, VA"
11301,51,VA,1,VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
11302,24,MD,1,MD,12580,"Baltimore-Columbia-Towson, MD"
11303,51,VA,1,VA,NA,NA
